Country,Document,DocYear,Element,ElementLabel,ElementText,Sector,TargetTime,TargetValue,TargetUnit ,TargetMetric,TargetBaseYear,TargetBaseValue,IndicatorType,Specific,Measurable,Achievable,Relevant,Timebound
Angola,NDC,2021,Hazard,none,Increased susceptibility to desertification and soil erosion,Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,The impacts of climate change in Angola are likely to be strongly felt in fisheries (…),,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,"Angola is vulnerable to the rise in the average sea level caused by climate change, as around 50% of its population lives along the coast.",,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,"The impacts of the indirect effects of climate change such as floods, severe droughts and soil erosion will have implications for the increase in displacement and loss of species and also for the increased risk of fire in forests",,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,"Longer, more frequent and intense droughts will increase the demand for water in areas already impacted by drought, as well as in new drought zones that will arise with climate change.",,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,Natural soil erosion aggravated by climate change has implications for sedimentation in river basins. ,,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,Change / Loss of biodiversity,,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,"Negative health impacts come from extreme climate events, such as heat waves, hurricanes/storms, floods and droughts.",,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,Damaged roads and bridges leads to the isolation of communities,,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,"difficulties in accessing health and medical emergency services, and may even ",,,,,,,,,,,,,
Angola,NDC,2021,System at risk,Impacts,compromise the evacuation routes of the village,,,,,,,,,,,,,
Angola,NDC,2021,Goal,no,"In addition to outlining conditional and unconditional mitigation contributions and the NDC will 
contribute to the global target of adaptation, reducing vulnerability, strengthening resilience and 
increasing the country's adaptive capacity in order to protect ecosystems, people, livelihoods and 
strategic sustainable development and economic investment, taking into account the urgent and 
immediate needs of the country, based on the best science available and national context",Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Objective,no,"WASH infrastructure, services and behaviours are sustainable, safe and resilient to climate-
related risks",Not specified,,,,,,,,,,,,
Angola,NDC,2021,Objective,no,"Sustainable use, protection and management 
of surface and groundwater resources, and resilient waste management",Not specified,,,,,,,,,,,,
Angola,NDC,2021,Objective,no,"Resilient WASH programmes contribute to building community resilience to help them 
adapt to the impacts of climate change. ",Not specified,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Conduct studies on the impact of climate change on fishing productivity and coastal economies,Agriculture and Fisheries,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Develop community and school gardens,Agriculture and Fisheries,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Apply the national collection of local seeds in programs to improve and create adapted local varieties,Agriculture and Fisheries,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Assess the defense capacity of existing protection structures in risk areas, including the analysis of the feasibility of new investments for the construction of protection structures against sea level rise",Coastal Zone,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Develop forest fire prevention actions,"Forest, Ecosystem and 
Biodiversity ",,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Improve the management of existing conservation areas and continue the process of creating new areas,"Forest, Ecosystem and 
Biodiversity ",,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Develop characterization studies of hydrographic basins and groundwater,Water Resources,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Increase the number of meteorological and hydrometric stations to 
improve monitoring of rainfall and watersheds ",Water Resources,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Implement a water collection and storage system in drought-prone areas 
to ensure continuity of human supply and watering of livestock ",Water Resources,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Improve existing wastewater collection and treatment systems and build 
new systems in underserved areas focusing on urban areas with a high 
concentration of population ",Human Health,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Map human settlements at risk of flooding and erosion,Infrastructures,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Conduct a study on the impact of changing the geographical distribution of animal diseases (infectious and parasitic) and the availability of water on the country's animal production levels,Agriculture and Fisheries,,1,Number, studies on animal diseases,,,,,,,,
Angola,NDC,2021,Action,Measure,Replicate the project “Promotion of sustainable charcoal in Angola through a Value Chain Approach” in the Luanda-Uíge corridor,Agriculture and Fisheries,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Reinforce inspection in order to condition the occupation of territory located in areas at high risk of flooding coastal areas,Coastal Zone,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Develop models to analyze the effects of climate change on biodiversity and ecosystems based on national and regional climate change scenarios,"Forest, Ecosystem and 
Biodiversity ",,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Actions to preserve forest perimeters in Huambo province, in line with the Government's efforts to elevate the province to the ecological capital of Angola","Forest, Ecosystem and 
Biodiversity ",,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Create water drainage systems in high-risk areas,Water Resources,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Build flood protection barriers along the main rivers (vegetation or physical 
barriers)",Water Resources,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,"Create a water quality monitoring system for consumption in the main 
sources of drinking water",Water Resources,,1,Number, water monitoring systems,,,,,,,,
Angola,NDC,2021,Action,Measure,"Implement an early warning system, involving the Civil Protection and the 
National Institute of Meteorology, in order to reinforce public health 
contingency and emergency plans in the face of the effects of extreme 
weather events ",Human Health,,,,,,,,,,,,
Angola,NDC,2021,Action,Measure,Continuously update the territorial register ,Infrastructures,,,,,,,,,,,,
Angola,NDC,2021,Indicator,Indicator,Change in annual temperature ,Not specified,,,,,,,climate parameter,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Mean monthly temperature ,Not specified,,,,,,,climate parameter,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of hot days ,Not specified,,,,,,,climate parameter,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Change in annual precipitation ,Not specified,,,,,,,climate parameter,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Monthly precipitation ,Not specified,,,,,,,climate parameter,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Extreme precipitation events ,Not specified,,,,,,,climate parameter,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of households affected by drought ,Not specified,,,,,,,outcome,no,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Percentage of total livestock killed by drought ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of people at high risk of heat stress ,Not specified,,,,,,,outcome,no,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of people living in flood prone areas ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of properties flooded per year ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of properties located in river/coastal floodplain ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of hectares of productive land lost to soil erosion ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Total forest area impacted by wildfire per year ,Not specified,,,,,,,outcome,no,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Weather-related disruption of electricity supply ,Not specified,,,,,,,outcome,no,no,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of properties lost due to coastal erosion per year ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Losses of GDP in percentage per year due to extreme rainfall ,Not specified,,,,,,,outcome,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of public awareness campaigns on water efficiency ,Not specified,,,,,,,output,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of government staff that have received training on adaptation ,Not specified,,,,,,,output,no,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Degree of integration of climate change into development planning ,Not specified,,,,,,,process,no,no,no,no,no
Angola,NDC,2021,Indicator,Indicator,Percentage of municipalities with local regulations considering adaptation and vulnerability assessment results ,Not specified,,,,,,,process,no,yes,no,no,no
Angola,NDC,2021,Indicator,Indicator,Existence of interministerial/ intersectoral commissions working on adaptation,Not specified,,,,,,,process,yes,yes,no,no,no
Angola,NDC,2021,Indicator,Indicator,Uptake of early warning systems ,Not specified,,,,,,,outcome,no,no,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Percentage of coastline under marine protection ,Not specified,,,,,,,output,yes,yes,no,yes,no
Angola,NDC,2021,Indicator,Indicator,Number of financial mechanisms identified to support climate change  adaptation,Not specified,,,,,,,process,yes,yes,no,no,no
Benin,NDC,2021,Hazard,Climate risks,floods,Crosscutting,,,,,,,,,,,,
Benin,NDC,2021,Hazard,Climate risks,drought,Crosscutting,,,,,,,,,,,,
Benin,NDC,2021,Hazard,Climate risks,"late and violent rains, violent winds",Crosscutting,,,,,,,,,,,,
Benin,NDC,2021,Hazard,Climate risks,excessive heat,Crosscutting,,,,,,,,,,,,
Benin,NDC,2021,Hazard,Climate risks,sea level rise,Crosscutting,,,,,,,,,,,,
Benin,NDC,2021,System at risk,none,livelihoods and livelihoods in particularly vulnerable sectors,,,,,,,,,,,,,
Benin,NDC,2021,System at risk,none,"Agriculture:  Impacts observed over the past three decades include declining agricultural yields, disruption of agricultural calendars, lower water levels in dams, supply of drinking water attributable to the increase in evaporation of the order of 3 to 4% on an annual scale (Houngue et al. 2019), the extension of the low water period (1 to 3 months), the flooding of banks, etc.",,,,,,,,,,,,,
Benin,NDC,2021,System at risk,none,Water Resources,,,,,,,,,,,,,
Benin,NDC,2021,System at risk,none,Coastline,,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Master vulnerability assessment tools and decision support tools for integration of adaptation to climate change in the planning and management instruments of national and regional institutions.,All sectors,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Strengthen adaptive capacity to climate change in all socio-economic  sectors (generation of jobs, income, etc.).",All sectors,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Mobilize the financial resources needed to finance adaptation to climate change,All sectors,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Improve the performance of Beninese agriculture, to make it capable of sustainably ensuring food and nutritional sovereignty, contributing to the economic and social development of the men and women of Benin and the achievement of the Sustainable Development Goals (SDGs) including SDGs 1, 2, 12, and 13. ",Agriculture,2025,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Reduce the vulnerability of natural and human systems to water stress, flooding and
degradation of water quality",Water resources,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Strengthen knowledge on the climate system and cliamte and hydrology information tools and prediction of climatic hazards;,Water resources,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote the control and good governance of water.,Water resources,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Reduce the vulnerability of communities to the degradation of forest ecosystems ,Forestry,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote agro-forestry,Forestry,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Develop mangrove ecosystems (forest formations characteristic of the littoral).,Forestry,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Reduce the vulnerability of human settlements and resources in the littoral sector to the sea level rise,Coastline,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Continuously ensure the protection of marine and lagoon ecosystems.,Coastline,2030,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Contribute to the sustainable improvement of the state of health and well-being of all through the reduction of vulnerabilities, building adaptive capacities and increasing resilience in the face of
climatic changes",Health,2050,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Contribute to the reduction of negative territorial and environmental impacts through
proposals for more water- and energy-efficient consumption patterns, increasing the value
added created returning to the communities and the various actors of the sector",Tourism,2025,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to the food security of the population in relation to plant production and ncrease the volume and export earnings of Benin,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Contribute to the food self-sufficiency of rural poor populations, mainly small farmers in the area of intervention",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Improve self-sufficiency and food security of poor rural populations of Benin, mainly small farmers.",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Strengthen the agricultural capacities of municipalities and agricultural cooperatives in the Collines department and  improve
the living conditions of small producers",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Sustainable soil protection and rehabilitation approaches are implemented on a large scale in Benin,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Increase and diversify agricultural production by increasing the use of the developed hydro-agricultural potential of the Atacora and Donga departments to contribute to the implementation of the strategic reference frameworks ""Strategic Plan for the Development of the Agricultural Sector of 2017-2021 ( PSDSA) and National Plan for Agricultural Investment and Food and Nutritional Security (PNIASAN)” in accordance with the protocol of the 2019 intergovernmental negotiations",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"The income of small farms, the creation employment and food supply in the target rural areas are improved through innovations in the agri-food sector.",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Sustainably anchor the promotion of CVAs in 02 Agricultural Development Poles,Agriculture,,2,Number, Agricultural Development Poles,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Sustainably increase the income of vegetable farms, while improving their resilience to climate change",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to improving food security and nutrition and poverty reduction. ,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Sustainably improve food and nutrition security, and the incomes of small producers, in particular women and youth.",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to the reduction of poverty and the improvement of food and nutritional security in Benin,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Improve access for producers and SMEs from the agro-food industry to export markets in some value chains,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Improve food security and reduce rural poverty by developing small irrigated perimeters to increase the production and productivity of cereals, vegetables and other food crops.",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Restore and improve field productivity and value added post-harvest from the targeted value chains (rice, fish,pineapple and cashew) and promote new areas intervention such as small livestock (poultry, goats and sheep)",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Increase the productivity of production systems in rainfed and irrigated agriculture through, among other things, the promotion of Integrated Soil Fertility Management (ISFM) on farms",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Sustainable improvement of the income of family farms in the cotton-growing areas of Benin.,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to improving producers' incomes and increasing the financial accessibility of proteins in rural areas,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Large-scale promotion of efficient, resilient and integrated irrigated agricultural production systems in priority agricultural value chains.",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote job creation through the creation of viable agricultural enterprises for young people and women.,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Strengthen the structure and capacities of agricultural and non-agricultural professional organizations and improve the technical and economic performance of MSEs and agricultural or non-agricultural IGAs,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Facilitate access to financing for MSEs and agricultural or non-agricultural IGAs,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Improve access to production and marketing support infrastructure.,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to the improvement of animal production and the rational management of farms,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to the food and nutritional security of populations and reduce the volume and cost of milk and meat imports.,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Intensify fish production in the target regions through the “farmer to farmer” extension approach and improved fish farming techniques.,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to improving the resilience of the Niger River ecosystems and populations through sustainable management of natural resources,Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Contribute to sustained growth in the Niger Basin by fighting poverty, strengthening food security and promoting sustainable development",Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote integrated management of water resources at river basin level and build multifunctional hydraulic infrastructure,Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Increase access to water supply and sanitation services, strengthen service delivery modalities in a few rural areas",Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Initiate a process of progressive mobilization of the water resources of the Ouémé basin in order to put them at the service of the economic and social development of the country.,Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Guarantee sustainable and equitable supply of drinking water to rural populations in rural localities,Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Contribution to the improvement of food and nutritional security and the reduction of poverty of the populations, through the development and rational management of natural resources",Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Strengthen national sovereignty in the border areas in order to secure the national territory and create better living conditions for the populations of the said areas.,Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Ensure community adaptation to agricultural livelihoods,Water Resources,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Protecting the Beninese coast against the advance of the sea,Coastal zone,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Achieve the sustainability and resilience of the main urban centers of Benin by raising the levels of infrastructure, equipment and services, as well as by protecting and improving local environments",Coastal zone,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Increase the capacity of Beninese cities to adapt to climate change, and strengthen the capacities of the various municipal and central actors in charge of sustainable urban development identified at the level of municipalities and ministries",Coastal zone,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Reduce the vulnerability of populations to floods, promote the construction of socio-economic infrastructure and launch the economic and social development of Benin.",Coastal zone,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Improve the quality and accessibility of health services for mother and child health,Health,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Reinforcement of infrastructure and equipment according to norms and standards integrating the environment and climate change dimensions;,Health,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,strengthening the mechanism for the upkeep and maintenance of health infrastructure and equipment integrating environmental dimensions and climate change,Health,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Contribute to improving the quality and accessibility of care and health services,Health,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Enrich and preserve the natural ecosystem by introducing new species: Black rhinoceros, Derby eland",Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote ecotourism and luxury tourism;,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Develop hunting tourism,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Improve the living conditions of the populations of Ganvié; Make Ganvié a showcase for lake tourism, an authentic, atypical and original destination",Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote popular and family tourism around the history of the Amazons and the kings of Abomey and the kingdom of Danhomè,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Motivate and support scientific research.,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Build a museum dedicated to the memory of slavery, the origins of slaves and resistance; Allow to understand the history of slavery in Benin and in the region.",Tourism,,1,Number, museums created,,,,,,,,
Benin,NDC,2021,Objective,Objective,To offer the world a museum that gives the visitor the intellectual and visual means for a better understanding of Vodun/orisha.,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Highlight the cultural heritage linked to the practice of vodun / orisha,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Make this precious heritage accessible to the general public,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Strengthen intercultural dialogue,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Develop the potential of cultural tourism (generate local, sustainable quality jobs)",Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Build a new Royal Palace of Baru Tem in Nikki for the current Emperor and his successors from all dynasties,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Promote the cultural values ??of the Baatonu people,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Reveal to the whole world the originality of the traditional and cultural festival ""Gaani""",Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Diversify tourism products in Ouidah,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Create a tourist complex and an immersive show course ""the Departure Boat"" in Djègbadji",Tourism,,1,Number,Course,,,,,,,,
Benin,NDC,2021,Objective,Objective,Create landscaped meditation spaces,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Make the seaside segment a driving force for the development of tourism Allow Beninese and foreign tourists to have beaches suitable for bathing,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Diversify tourism products throughout the national territory,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Increase reception infrastructure capacity at ecotourism sites,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Build piers and wharfs allowing access to lagoon sites,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,Have a national list of cultural heritage and natural heritage of a cultural nature,Tourism,,1,Number,List of heritage sites,,,,,,,,
Benin,NDC,2021,Objective,Objective,Restore/rehabilitate Benin's endangered cultural heritage,Tourism,,,,,,,,,,,,
Benin,NDC,2021,Objective,Objective,"Promote cultural identity values ??(Establishment of the directory of living human treasures, Transmission of their knowledge and know-how to the younger generation, etc.)",Tourism,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Infrastructure Support Project in the Valley of Ouémé (PAIA-VO) (2013-2020). Pilot phase in implementation course,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,"Food Security Project through the Development of
Inland valleys and capacity building for
Storage in Benin (PSAAB)",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Food Security through Agricultural Intensification Project in Benin (PSAIA),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Agriculture Development Support Project in the Hills (PADAC),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Soil protection and rehabilitation project for improving food security (PROSOL),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Agricultural Investment Fund (Fi-Agri) Phase 4,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Project of Green Innovation Centers for the Agrifood Sector (ProCIVA),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,ProSAR,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,ProAgri3 and 4,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Project to support the development of market gardening,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,"Support Project for Food Production and strengthening of resilience in the departments of Alibori, Borgou and PAPVIRE-ABC Hills",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,"Support Project for Agricultural Development and Access
to Markets (PADAAM)",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Project to Support the Competitiveness of Agricultural Sectors and Export Diversification (PACOFIDE),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Project for the Development of Irrigated Perimeters in Rural environment (PDPIM),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Agricultural Diversification Support Project (PADA-FA) ,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Small Farm Agricultural Productivity Improvement Program (PAPAPE),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,"Agroecological Transition Support Project in the Cotton Zones of Benin, phase 2",Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Support Project for the Development of Protein Sectors (PADEFIP),Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Project for the Promotion of Sustainable Aquaculture and Competitiveness of Fisheries Value Chains,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Agricultural Services Development Project,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Regional Agricultural Markets Integration Project,Agriculture,,,,,,,,,,,,
Benin,NDC,2021,Action,Measure,Municipal Development Support Fund (FADeC-Agriculture),Agriculture,,,,,,,,,,,,
